ID	msisensorpro	reference_result
S1388	1.63	
S1389	1.62	
S1390	1.62	
S1391	1.62	
S1392	1.62	
S1393	1.62	
S1394	1.62	
S1395	1.62	
S1396	1.62	
S1397	1.62	
S1398	1.62	
S1399	1.62	
S1400	1.61	
S1401	1.61	
S1402	1.61	
S1403	1.61	
S1404	1.61	
S1405	1.61	
S1406	1.61	
S1407	1.61	
S1408	1.61	
S1409	1.61	
S1410	1.61	
S1411	1.61	
S1412	1.6	
S1413	1.6	
S1414	1.6	
S1415	1.59	
S1416	1.59	
S1417	1.58	
S1418	1.58	
S1419	1.58	
S1420	1.58	
S1421	1.58	
S1422	1.58	
S1423	1.57	
S1424	1.57	
S1425	1.57	
S1426	1.57	
S1427	1.57	
S1428	1.57	
S1429	1.56	
S1430	1.56	
S1431	1.56	
S1432	1.56	
S1433	1.56	
S1434	1.56	
S1435	1.56	
S1436	1.56	
S1437	1.56	
S1438	1.56	
S1439	1.56	
S1440	1.56	
S1441	1.56	
S1442	1.55	
S1443	1.55	
S1444	1.55	
S1445	1.55	
S1446	1.55	
S1447	1.55	
S1448	1.55	
S1449	1.55	
S1450	1.55	
S1451	1.55	
S1452	1.54	
S1453	1.54	
S1454	1.53	
S1455	1.53	
S1456	1.53	
S1457	1.52	
S1458	1.52	
S1459	1.52	
S1460	1.52	
S1461	1.52	
S1462	1.51	
S1463	1.51	
S1464	1.51	
S1465	1.5	
S1466	1.5	
S1467	1.5	
S1468	1.5	
S1469	1.5	
S1470	1.5	
S1471	1.5	
S1472	1.5	
S1473	1.5	
S1474	1.5	
S1475	1.5	
S1476	1.5	
S1477	1.5	
S1478	1.49	
S1479	1.49	
S1480	1.49	
S1481	1.49	
S1482	1.48	
S1483	1.48	
S1484	1.48	
S1485	1.48	
S1486	1.47	
S1487	1.47	
S1488	1.47	
S1489	1.47	
S1490	1.47	
S1491	1.47	
S1492	1.46	
S1493	1.46	
S1494	1.46	
S1495	1.46	
S1496	1.45	
S1497	1.45	
S1498	1.45	
S1499	1.45	
S1500	1.45	
S1501	1.45	
S1502	1.45	
S1503	1.45	
S1504	1.44	
S1505	1.44	
S1506	1.44	
S1507	1.44	
S1508	1.44	
S1509	1.44	
S1510	1.44	
S1511	1.44	
S1512	1.44	
S1513	1.44	
S1514	1.44	
S1515	1.44	
S1516	1.43	
S1517	1.43	
S1518	1.42	
S1519	1.42	
S1520	1.42	
S1521	1.42	
S1522	1.42	
S1523	1.42	
S1524	1.42	
S1525	1.41	
S1526	1.41	
S1527	1.41	
S1528	1.41	
S1529	1.41	
S1530	1.4	
S1531	1.4	
S1532	1.4	
S1533	1.4	
